Input File:
54 ((19, 8), 57.994616791916485)
55 ((16, 10), 59.036243467926454)
56 ((13, 12), 63.434948822922024)
220 ((15, 11), 63.434948822922024)
257 ((17, 10), 63.434948822922024)
57 ((18, 10), 66.80140948635182)
58 ((16, 11), 68.19859051364818)
59 ((19, 10), 69.44395478041656)
60 ((14, 12), 71.56505117707798)
61 ((15, 12), 75.96375653207355)
221 ((19, 11), 75.96375653207355)
62 ((17, 12), 80.53767779197437)
63 ((18, 12), 81.86989764584405)
64 ((19, 12), 82.8749836510982)
65 ((12, 13), 90)
222 ((13, 13), 90)
258 ((14, 13), 90)
274 ((15, 13), 90)
281 ((16, 13), 90)
66 ((19, 14), 97.1250163489018)
67 ((18, 14), 98.13010235415598)
68 ((17, 14), 99.46232220802561)
69 ((16, 14), 101.30993247402021)
70 ((15, 14), 104.03624346792648)
223 ((19, 15), 104.03624346792648)
71 ((18, 15), 105.94539590092285)
72 ((14, 14), 108.43494882292201)
73 ((19, 16), 110.55604521958347)
74 ((16, 15), 111.80140948635182)
75 ((18, 16), 113.19859051364818)
76 ((13, 14), 116.56505117707799)
224 ((17, 16), 116.56505117707799)
259 ((19, 17), 116.56505117707799)
77 ((18, 17), 119.74488129694222)
78 ((16, 16), 120.96375653207352)
79 ((19, 18), 122.00538320808349)
80 ((14, 15), 123.69006752597979)
225 ((17, 17), 123.69006752597979)
81 ((18, 18), 125.53767779197437)
82 ((15, 16), 126.86989764584402)
226 ((19, 19), 126.86989764584402)
83 ((17, 18), 129.8055710922652)
84 ((18, 19), 130.6012946450045)
85 ((13, 15), 135.0)
227 ((15, 17), 135.0)
86 ((15, 18), 141.34019174590992)
87 ((14, 17), 143.13010235415598)
88 ((15, 19), 146.30993247402023)
89 ((14, 18), 149.03624346792648)
90 ((12, 15), 153.43494882292202)
228 ((13, 17), 153.43494882292202)
91 ((13, 18), 158.19859051364818)
92 ((12, 16), 161.56505117707798)
229 ((13, 19), 161.56505117707798)
93 ((12, 17), 165.96375653207355)
94 ((12, 18), 168.69006752597977)
95 ((12, 19), 170.53767779197437)
96 ((11, 14), 180)
230 ((11, 16), 180)
260 ((11, 17), 180)
97 ((10, 19), 189.46232220802563)
98 ((10, 18), 191.30993247402023)
99 ((10, 17), 194.03624346792645)
100 ((9, 19), 198.43494882292202)
231 ((10, 16), 198.43494882292202)
101 ((9, 18), 201.80140948635182)
102 ((8, 19), 206.56505117707798)
232 ((9, 17), 206.56505117707798)
261 ((10, 15), 206.56505117707798)
103 ((8, 18), 210.96375653207352)
104 ((7, 19), 213.69006752597977)
105 ((8, 17), 216.86989764584402)
106 ((7, 18), 218.65980825409008)
107 ((5, 19), 225.0)
233 ((6, 18), 225.0)
262 ((7, 17), 225.0)
275 ((8, 16), 225.0)
282 ((9, 15), 225.0)
287 ((10, 14), 225.0)
108 ((4, 19), 229.3987053549955)
109 ((6, 17), 231.34019174590992)
110 ((7, 16), 233.13010235415598)
111 ((4, 18), 234.46232220802563)
112 ((2, 19), 236.30993247402023)
234 ((5, 17), 236.30993247402023)
263 ((8, 15), 236.30993247402023)
113 ((1, 19), 239.03624346792648)
114 ((2, 18), 240.94539590092285)
115 ((0, 19), 241.3895403340348)
116 ((3, 17), 243.43494882292202)
235 ((5, 16), 243.43494882292202)
264 ((9, 14), 243.43494882292202)
117 ((0, 18), 245.55604521958347)
118 ((4, 16), 246.80140948635182)
119 ((1, 17), 248.19859051364818)
236 ((6, 15), 248.19859051364818)
120 ((8, 14), 251.56505117707798)
121 ((4, 15), 254.05460409907715)
122 ((3, 15), 255.96375653207352)
237 ((7, 14), 255.96375653207352)
123 ((2, 15), 257.4711922908485)
124 ((1, 15), 258.69006752597977)
238 ((6, 14), 258.69006752597977)
125 ((5, 14), 260.5376777919744)
126 ((4, 14), 261.86989764584405)
127 ((3, 14), 262.8749836510982)
128 ((2, 14), 263.6598082540901)
129 ((0, 14), 264.80557109226515)
130 ((0, 13), 270)
239 ((1, 13), 270)
265 ((5, 13), 270)
276 ((7, 13), 270)
283 ((8, 13), 270)
288 ((9, 13), 270)
291 ((10, 13), 270)
131 ((1, 12), 275.71059313749964)
132 ((2, 12), 276.3401917459099)
133 ((3, 12), 277.1250163489018)
134 ((4, 12), 278.13010235415595)
135 ((5, 12), 279.4623222080256)
136 ((0, 11), 280.3048464687661)
137 ((1, 11), 281.30993247402023)
138 ((2, 11), 282.5288077091515)
139 ((3, 11), 284.0362434679265)
140 ((2, 10), 288.434948822922)
240 ((5, 11), 288.434948822922)
266 ((8, 12), 288.434948822922)
141 ((0, 9), 289.98310652189997)
142 ((3, 10), 290.55604521958344)
143 ((1, 9), 291.8014094863518)
241 ((6, 11), 291.8014094863518)
144 ((4, 10), 293.1985905136482)
145 ((2, 9), 293.96248897457815)
146 ((0, 8), 294.44395478041656)
147 ((1, 8), 296.565051177078)
242 ((3, 9), 296.565051177078)
267 ((5, 10), 296.565051177078)
148 ((0, 7), 298.6104596659652)
149 ((4, 9), 299.74488129694225)
150 ((6, 10), 300.9637565320735)
151 ((3, 8), 302.00538320808346)
152 ((0, 6), 302.4711922908485)
153 ((2, 7), 303.69006752597977)
243 ((8, 11), 303.69006752597977)
154 ((1, 6), 304.99202019855863)
155 ((4, 8), 305.5376777919744)
156 ((3, 7), 306.86989764584405)
244 ((7, 10), 306.86989764584405)
157 ((2, 6), 307.8749836510982)
158 ((6, 9), 308.6598082540901)
159 ((0, 4), 309.28940686250036)
160 ((5, 8), 309.8055710922652)
161 ((4, 7), 310.6012946450045)
162 ((3, 6), 311.18592516570965)
163 ((2, 5), 311.6335393365702)
164 ((1, 4), 311.98721249581666)
165 ((1, 3), 315.0)
245 ((2, 4), 315.0)
268 ((3, 5), 315.0)
277 ((4, 6), 315.0)
284 ((5, 7), 315.0)
289 ((6, 8), 315.0)
292 ((7, 9), 315.0)
294 ((9, 11), 315.0)
296 ((10, 12), 315.0)
166 ((0, 1), 317.4895529219991)
167 ((1, 2), 317.7263109939063)
168 ((2, 3), 318.01278750418334)
169 ((3, 4), 318.3664606634298)
170 ((4, 5), 318.81407483429035)
171 ((5, 6), 319.3987053549955)
172 ((1, 1), 320.19442890773485)
173 ((3, 3), 321.3401917459099)
246 ((7, 8), 321.3401917459099)
174 ((4, 4), 322.1250163489018)
175 ((1, 0), 322.4314079711725)
176 ((5, 5), 323.13010235415595)
177 ((3, 2), 323.9726266148964)
178 ((6, 6), 324.4623222080256)
179 ((3, 1), 326.30993247402023)
180 ((4, 2), 327.5288077091515)
181 ((6, 5), 327.9946167919165)
182 ((5, 3), 329.0362434679265)
247 ((8, 8), 329.0362434679265)
183 ((4, 1), 329.74356283647074)
184 ((7, 6), 330.25511870305775)
185 ((6, 4), 330.94539590092285)
186 ((5, 2), 331.3895403340348)
187 ((4, 0), 331.6992442339936)
188 ((5, 1), 333.434948822922)
248 ((6, 3), 333.434948822922)
269 ((9, 9), 333.434948822922)
278 ((10, 11), 333.434948822922)
189 ((5, 0), 335.22485943116806)
190 ((6, 2), 335.55604521958344)
191 ((7, 4), 336.03751102542185)
192 ((8, 6), 336.8014094863518)
193 ((6, 1), 337.38013505195954)
194 ((7, 3), 338.1985905136482)
249 ((9, 8), 338.1985905136482)
195 ((7, 2), 340.01689347810003)
196 ((7, 1), 341.565051177078)
250 ((10, 10), 341.565051177078)
197 ((7, 0), 342.89727103094765)
198 ((8, 3), 343.3007557660064)
199 ((9, 6), 344.05460409907715)
200 ((8, 2), 344.74488129694225)
201 ((8, 1), 345.96375653207355)
251 ((9, 5), 345.96375653207355)
270 ((10, 9), 345.96375653207355)
202 ((8, 0), 347.0053832080835)
203 ((9, 4), 347.4711922908485)
204 ((9, 3), 348.69006752597977)
252 ((10, 8), 348.69006752597977)
205 ((9, 1), 350.5376777919744)
253 ((10, 7), 350.5376777919744)
206 ((9, 0), 351.25383773744477)
207 ((10, 6), 351.86989764584405)
208 ((10, 3), 354.28940686250036)
209 ((10, 2), 354.8055710922652)
210 ((10, 1), 355.23635830927384)
